id,name,address,city_id,location,description,price
13,Ara Pacis,"Lungotevere in Augusta, 00186 Roma RM, Italy",1,41.905165983511274 12.475265522388867,"The Ara Pacis is an ancient altar dedicated to the Roman goddess of peace, Pax. It is considered one of the most important works of Roman sculpture and is housed in a modern museum building.",10
14,Basilica of Santa Maria Maggiore,"Piazza di Santa Maria Maggiore, 42, 00185 Roma RM, Italy",1,41.89773433134623 12.498386937731235,The Basilica of Santa Maria Maggiore is one of the major basilicas in Rome and is dedicated to the Virgin Mary. It is known for its beautiful mosaics and stunning interior.,5
15,Palazzo Barberini,"Via delle Quattro Fontane, 13, 00184 Roma RM, Italy",1,41.903294089802266 12.489944012595991,"Palazzo Barberini is a palace in Rome that houses the Galleria Nazionale d'Arte Antica, an art gallery with a vast collection of paintings, sculptures, and other artworks.",25
16,Campo de' Fiori,"Campo de' Fiori, 00186 Roma RM, Italy",1,41.89553744984559 12.472223453073946,"Campo de' Fiori is a lively square in Rome known for its bustling market during the day and vibrant nightlife. It is surrounded by restaurants, cafes, and historic buildings.",0
17,Santa Maria in Trastevere,"Piazza di Santa Maria in Trastevere, 00153 Roma RM, Italy",1,41.88959680099575 12.469814637730664,Santa Maria in Trastevere is one of the oldest churches in Rome and is located in the charming Trastevere neighborhood. It is known for its beautiful mosaics and stunning interior.,10
18,"Pietre d'inciampo in memoria di Tranquillo di Veroli, Marco di Veroli","Largo Arenula, 26, 00186 Roma RM, Italy",1,41.894588679167754 12.476140037731035,"The Stolpersteine, also known as stumbling stones, are small metal plaques placed in the urban fabric of certain European cities to commemorate the victims of the Holocaust. This initiative was created by German artist Gunter Demnig.
In the context of Rome, some of these stones have been placed at Vicolo Costaguti, 24 to honor Clelia and Marcella Perugia, as well as Giuditta and Pacifico Di Veroli.",8
19,Arch of Constantine,"Via di San Gregorio, 00186 Roma RM, Italy",1,"41.889923087335376, 12.490731839580757","The Arch of Constantine is a triumphal arch in Rome, located near the Colosseum. It was built to commemorate the victory of Constantine the Great and is known for its well-preserved reliefs.",5
20,Milan Cathedral (Duomo di Milano) - The famous cathedral of Milan.," Piazza del Duomo, 20122 Milano MI, Italy.",2,45.46414163933181 9.191935903417761,"Milan Cathedral (Duomo di Milano) - This magnificent cathedral is one of the largest Gothic cathedrals in the world. Its elaborate facade and stunning interior features intricate sculptures, stained glass windows, and a rooftop terrace offering panoramic views of the city.",42
21,Sforza Castle (Castello Sforzesco) - A historic castle housing important museums.," Piazza Castello, 20121 Milano MI, Italy.",2,45.470498771643285 9.1793325," Sforza Castle (Castello Sforzesco) - A grand medieval fortress, Sforza Castle showcases a mix of architectural styles and houses several museums and art collections. Visitors can explore its courtyards, gardens, and historical rooms filled with sculptures and paintings.",55
22,The Last Supper (Il Cenacolo) - Leonardo da Vinci's renowned mural painting.," Piazza di Santa Maria delle Grazie, 20123 Milano MI, Italy.",2,45.466244546673416 9.170604116823023,"The Last Supper (Il Cenacolo) - Housed in the refectory of the Convent of Santa Maria delle Grazie, Leonardo da Vinci's masterpiece, The Last Supper, depicts the biblical scene of Jesus and his disciples. It is renowned for its intricate details and use of perspective.",12
23,Brera Art Gallery (Pinacoteca di Brera) - Art museum featuring Italian masterpieces.,"Via Brera, 28, 20121 Milano MI, Italy.",2,45.47203014780333 9.187813913908588,"Brera Art Gallery (Pinacoteca di Brera) - This art museum houses an impressive collection of Italian Renaissance and Baroque artworks. Visitors can admire masterpieces by artists such as Raphael, Caravaggio, and Titian.",51
24,La Scala Opera House (Teatro alla Scala) - World-famous opera house.,"Via Filodrammatici, 2, 20121 Milano MI, Italy.",2,45.467439721452244 9.189551200000002,"Galleria Vittorio Emanuele II - Known as one of the world's oldest shopping malls, this elegant arcade is adorned with beautiful mosaics and features high-end boutiques, cafes, and restaurants. It connects Piazza del Duomo with Piazza della Scala.",42
25,Galleria Vittorio Emanuele II - Historic shopping arcade with luxury boutiques.,"Piazza del Duomo, 20123 Milano MI, Italy.",2,45.46620636798135 9.189758957622473," La Scala Opera House (Teatro alla Scala) - One of the most prestigious opera houses in the world, La Scala is renowned for its opulent interiors and exceptional acoustics. It has hosted renowned opera performances and ballets for centuries.",28
26,Santa Maria delle Grazie - Renaissance church and UNESCO World Heritage site.,"Piazza di Santa Maria delle Grazie, 20123 Milano MI, Italy.",2,45.46603072031877 9.17094064228608,"Santa Maria delle Grazie - This UNESCO World Heritage site is a stunning example of Renaissance architecture. Apart from housing The Last Supper, the church itself boasts beautiful chapels, frescoes, and a tranquil courtyard.",17
27,Navigli Canals - Historic canals lined with trendy bars and restaurants.,"Navigli District, 20123 Milano MI, Italy.",2,45.45145437455379 9.170989190785148,"Navigli Canals - Once used for transportation, the Navigli Canals now offer a lively atmosphere with numerous bars, restaurants, and art galleries. It's a popular spot to enjoy a leisurely stroll and take in the charming ambiance.",27
28,Arch of Peace (Arco della Pace) - Neoclassical monument and city gate.,"Piazza Sempione, 20154 Milano MI, Italy.",2,45.47578756272773 9.172458555656284,"Arch of Peace (Arco della Pace) - A neoclassical triumphal arch, the Arch of Peace stands at the entrance of Parco Sempione. It serves as a symbol of peace and commemorates Napoleon's victories.",31
29,Basilica of Sant'Ambrogio - Ancient church dedicated to Saint Ambrose.," Piazza Sant'Ambrogio, 15, 20123 Milano MI, Italy.",2,45.46242702452528 9.175611999982229,"Basilica of Sant'Ambrogio - One of the oldest churches in Milan, this Romanesque basilica is dedicated to Saint Ambrose, the city's patron saint. It features impressive mosaics, a beautiful courtyard, and a rich history dating back to the 4th century.",17
30,Leonardo da Vinci National Museum of Science and Technology - Science and technology,"Via San Vittore, 21, 20123 Milano MI, Italy.",2,45.46232504635221 9.170606469008959,"Leonardo da Vinci National Museum of Science and Technology - This museum pays homage to Leonardo da Vinci's genius and showcases his inventions, scientific studies, and artistic works. It offers interactive exhibits and educational displays.",15
31,Museum of the Twentieth Century (Museo del Novecento) - Modern and contemporary art museum.,"Palazzo dell'Arengario, Via Marconi, 1, 20122 Milano MI, Italy.",2,45.463442351832015 9.190127838336407," Museum of the Twentieth Century (Museo del Novecento) - Located in the Palazzo dell'Arengario, this museum focuses on modern and contemporary art from the 20th century. It houses a diverse collection of paintings, sculptures, and installations.",20
32,Porta Nuova District - Modern urban redevelopment area with skyscrapers.,"Porta Nuova, 20124 Milano MI, Italy.",2,45.47885001889914 9.19052513379982," Porta Nuova District - A modern urban redevelopment area, Porta Nuova is characterized by its sleek skyscrapers, public parks, and innovative architecture. It offers a vibrant mix of residential, commercial, and cultural spaces.",10
33,San Maurizio al Monastero Maggiore - Renaissance church with stunning frescoes.,"Corso Magenta, 15, 20123 Milano MI, Italy.",2,45.46552859637119 9.178889271148357,"San Maurizio al Monastero Maggiore - Known as the ""Sistine Chapel of Milan,"" this church features mesmerizing frescoes covering its walls and ceiling. It offers a glimpse into the artistic beauty of the Renaissance period.",5
34,Church of San Lorenzo - Ancient church known for its Romanesque architecture.,"Corso di Porta Ticinese, 1, 20123 Milano MI, Italy.",2,43.775212713191046 11.25382435260368,"Church of San Lorenzo - With its Romanesque architecture and beautiful interior, the Church of San Lorenzo is a tranquil sanctuary in the bustling city. It houses notable artworks and is known for its serene atmosphere.",25
35,Villa Necchi Campiglio - Historic mansion and museum showcasing Italian design.," Via Mozart, 14, 20122 Milano MI, Italy.",2,45.46892041179797 9.202419603486316,Villa Necchi Campiglio - This elegant mansion-turned-museum showcases the luxurious lifestyle of the 20th-century Milanese upper class. ,0
36,Piazza Mercanti - Medieval square with historic buildings and a central well.,"Piazza Mercanti, 20123 Milano MI, Italy.",2,45.46466129796205 9.187633742311938,"Piazza Mercanti - Located in the heart of the historic center, Piazza Mercanti is a medieval square surrounded by stunning buildings with unique architectural details. It offers a glimpse into Milan's rich history and trade heritage.",10
37,The Columns of San Lorenzo (Colonne di San Lorenzo) - Ancient Roman ruins and gathering place.,"Corso di Porta Ticinese, 35, 20123 Milano MI, Italy.",2,45.45836058260113 9.181057999973063,"The Columns of San Lorenzo (Colonne di San Lorenzo) - These ancient Roman columns stand as a testament to Milan's ancient past. The area around the columns is a popular gathering spot, especially in the evenings, with lively bars and restaurants.",8
38,Royal Palace of Milan (Palazzo Reale) - Former royal residence turned art exhibition space.," Piazza del Duomo, 12, 20122 Milano MI, Italy.",2,45.46326809458888 9.191168253933936,"19. Royal Palace of Milan (Palazzo Reale) - Once the seat of government, this royal palace now hosts art exhibitions and cultural events. Its opulent rooms showcase lavish decorations, historical artifacts, and temporary art displays.",5
39,Church of San Bernardino alle Ossa - Unique church with an ossuary and decorated chapel.,"Via Verziere, 2, 20123 Milano MI, Italy.",2,45.46246927467416 9.19535880977105,"Church of San Bernardino alle Ossa - This unique church is known for its macabre ossuary, where human bones are used as decorations. The adjacent chapelI apologize, it seems my response got cut off. Here's the continuation:",44
