id,name,address,city_id,location,desciption
13,Maximo Shopping Center,"Via Laurentina, 865, 00143 Roma RM, Italy",1,41.810083544780966 12.486444743207326,"Maximo Shopping Center is a modern retail complex situated in the southern part of Rome. It offers a diverse range of shops, including fashion, electronics, and supermarkets, providing a convenient shopping experience for local residents."
14,Isola Sas di Aron Sufir,"Via in Arcione, 113, 00187 Roma RM, Italy",1,41.90394847068115 12.486074220464273,"Isola Sas di Aron Sufir is a renowned antique store located near Piazza di Spagna in Rome. It specializes in a wide range of unique and collectible antiquities, attracting antique enthusiasts and collectors from around the city."
15,Antiquities Alberto Di Castro,"Piazza di Spagna, 5, 00187 Roma RM, Italy",1,41.9078942371483 12.481267625824877,"Antiquities Alberto Di Castro is a prestigious antique shop situated in the vicinity of Piazza di Spagna. It offers a curated collection of fine antique furniture, artworks, and decorative objects, catering to discerning collectors and interior designers."
16,Carlucci Gallerie Antiquarie,"Via del Babuino, 50, 00187 Roma RM, Italy",1,41.91083250568285 12.479379350738073,"Carlucci Gallerie Antiquarie is a well-established gallery of fine antiques located on Via del Babuino. It showcases a wide array of exquisite antiquefurniture, artwork, and decorative objects, offering a unique shopping experience for antique enthusiasts and collectors in Rome."
17,Stone Island Store Roma,"Via del Babuino, 174/175, 00187 Roma RM, Italy",1,41.91222299611914 12.478005983529382,"Stone Island Store Roma is a flagship store located on Via del Babuino in Rome. It specializes in high-quality and innovative fashion for men, featuring the renowned Stone Island brand. The store showcases the latest collections and offers a premium shopping experience for fashion-forward individuals."
18,Burberry,"La Rinascente, Via del Tritone, 61, 00187 Roma RM, Italy",1,41.904813351288844 12.484529115647428,"Burberry is a renowned luxury fashion brand located in La Rinascente on Via del Tritone in Rome. The store offers a wide selection of high-end clothing, accessories, and fragrances, showcasing Burberry's iconic British style and craftsmanship."
19,Murano Max Murano Glass Rome,"Via dei Banchi Nuovi, 8, 00186 Roma RM, Italy",1,41.900616741905736 12.467311760232139,"Murano Max Murano Glass Rome is a specialized store located on Via dei Banchi Nuovi. It features a stunning collection of handcrafted Murano glass artworks, including vases, sculptures, jewelry, and decorative items, showcasing the renowned Venetian glassmaking tradition."
20,BD-SAS,"Via Milano, 35, 00184 Roma RM, Italy",1,41.90023343583015 12.491086860188688,"BD-SAS is a boutique store located on Via Milano in Rome. It offers a curated selection of trendy and fashionable clothing, accessories, and footwear for men and women. The store focuses on contemporary styles and aims to provide a unique shopping experience for fashion-conscious individuals."
21,Galleria Vittorio Emanuele II ," Piazza del Duomo, 20123 Milan, Italy",2,45.46616122124273 9.18985551715663,"Galleria Vittorio Emanuele II: A historic shopping mall known for its stunning architecture, located near the Duomo."
22,Via della Spiga,"- 20121 Milan, Italy",2,45.470518753830376 9.196549191379225,"Via della Spiga: A fashionable street lined with high-end boutiques and designer stores,"
23,Via Montenapoleone," 20121 Milan, Italy",2,45.46843913825081 9.195106277894308,"Via Montenapoleone: One of the world's most famous luxury shopping streets, featuring prestigious fashion brands"
24,Corso Como ,"Corso Como, 10, 20154 Milan, Italy",2,45.48236584610254 9.1873938220679,"Corso Como: A trendy district known for its concept stores, art galleries, and designer shops."
25,La Rinascente," Via Dante, 20123 Milan, Italy",2,45.467687936085085 9.192141331606017,"La Rinascente: A renowned department store in the heart of Milan, "
26,Corso Buenos Aires," Corso Buenos Aires, Milan, Italy",2,45.4746375500089 9.205129506721415,Corso Buenos Aires: A bustling shopping street known for its numerous shops
27,Brera District,"Brera, 20121 Milan, Italy",2,45.47261218046576 9.185219130890728,"Brera District: A charming neighborhood with narrow streets and boutiques selling art,"
28,10 Corso Como," Corso Como, 10, 20154 Milan, Italy",2,45.48196351297278 9.187450420213258,"10 Corso Como: A concept store featuring a curated selection of fashion, design, art"
29,Via Torino,"Via Torino, Milan, Italy",2,45.46166170137358 9.18543357788882,Via Torino: A vibrant shopping street offering a mix of popular fashion chain
30,Corso Vittorio Emanuele II ," Corso Vittorio Emanuele II, Milan, Italy",2,45.46556934006219 9.195425850907617,Corso Vittorio Emanuele II: A bustling pedestrian street connecting Piazza del Duomo to Piazza San Babila
31,Porta Ticinese ,"Porta Ticinese, Milan, Italy",2,45.45361417359515 9.179931892264433,"Porta Ticinese: A lively area with a mix of vintage shops, trendy boutiques,"
32,Fidenza Village ,"Via Collatina, Km 12.800, 00132 Roma RM, Italy",2,44.884301040198075 10.091142722069122,"Fidenza Village: Located outside of Milan, it's an outlet shopping destination with a wide range of designer brands offering discounted prices."
33,Via Manzoni -,"Via Alessandro Manzoni, Milan, Italy",2,44.86356235378698 10.062982722065872," Via Manzoni: A street known for its luxury fashion houses, upscale boutiques, and flagship stores of renowned designers."
34,Via della Moscova ,"Via della Moscova, Milan, Italy",2,45.48162190635116 9.190113540354144,"Via della Moscova: A trendy street featuring independent boutiques, vintage shops"
35,Corso di Porta Romana," Corso di Porta Romana, Milan, Italy",2,45.456459037950594 9.195278449059256," Corso di Porta Romana: A street lined with shops offering a mix of local brands, designer stores, and specialty shops."
36,Excelsior Milano ," Galleria del Corso, 4, 20122 Milan, Italy",2,45.48640350742714 9.199295014144782,"Excelsior Milano: A luxury department store offering a curated selection of fashion, accessories, beauty, and design products."
37,Coin Excelsior,"Piazza Cinque Giornate, 1, 20129 Milan, Italy",2,45.46726490934323 9.186248749733645,"Coin Excelsior: A department store featuring a wide range of fashion, beauty, and home products."
38,Corso Magenta,"Corso Magenta, Milan, Italy",2,45.465866343063645 9.17317256440857,"Corso Magenta: A street known for its elegant shops, art galleries, and antique stores."
39,Rho Fiera Milano," Strada Statale del Sempione, 28, 20017 Rho MI, Italy",2,45.51946329047666 9.085647367980371,Rho Fiera Milano: An exhibition center and shopping destination located outside of Milan
40,CityLife Shopping District -,"Piazza Tre Torri, 20145 Milan, Italy",2,45.47835061112123 9.155451835557084,"CityLife Shopping District: A modern shopping district located in the CityLife complex. It features a mix of fashion, lifestyle"
41,Galleria Umberto I,"Via San Carlo, 80132 Napoli NA, Italy.",3,40.838668925731845  14.249484145822406,Galleria Umberto I: A stunning 19th-century shopping gallery with elegant architecture and luxury boutiques
42,Via Toledo,"Via Toledo, Naples, Italy.",3,40.84298349997223  14.248882545806136,"Via Toledo: A vibrant shopping street known for its wide range of shops, including fashion boutiques, department stores, and local markets"
43,Via Chiaia," Via Chiaia, Naples, Italy",3,40.83649239527788  14.24559561694469,"Via Chiaia: A stylish street lined with fashion boutiques, high-end shops, and trendy cafes."
44,Quartieri Spagnoli ," the Spanish Quarter (Quartieri Spagnoli), Naples, Italy.",3,40.8421819629226  14.246987931695205,"Quartieri Spagnoli: A lively neighborhood with a mix of traditional shops, local markets, and street vendors"
45,Via dei Mille:," Via dei Mille, Naples, Italy.",3,40.83679736670532  14.238359191865632,Via dei Mille: A popular shopping street famous for its designer stores and upscale fashion boutiques
46,Via Scarlatti," Via Scarlatti, Naples, Italy.",3,40.84385546933535  14.230935532319945,"Via Scarlatti: A charming street offering a variety of shops, including clothing stores, shoe shops, and specialty stores"
47,La Reggia Designer Outlet,"S.S. Sannitica, 81025 Marcianise CE, Italy (near Naples).",3,41.006592213103936 14.321363645831704,La Reggia Designer Outlet: A large outlet mall featuring numerous international and Italian designer brands at discounted prices. 
48,Galleria Borbonica,"Vico del Grottone, 4, 80132 Naples NA, Italy",3,40.83556789955186  14.246275993749508,Galleria Borbonica: A unique underground shopping complex located in the tunnels of Naples' historic Bourbon Gallery
49,Via San Gregorio Armeno,"Via San Gregorio Armeno, Naples, Italy.",3,40.850275144264465  14.257799174645827,"Via San Gregorio Armeno: Famous for its artisanal nativity scene figurines, this narrow street is lined with shops selling traditional crafts and souvenirs"
50,Via Santa Caterina a Chiaia," Via Santa Caterina a Chiaia, Naples, Italy.",3,40.83529499717521  14.242121218804328,"Via Santa Caterina a Chiaia: A charming street known for its antique shops, art galleries, and vintage boutiques. "
51,Via San Pasquale,"Via San Pasquale, Naples, Italy",3,40.835597535403764  14.236051172831154,"PVia San Pasquale: A street in the trendy Chiaia neighborhood featuring upscale fashion boutiques, jewelry stores, and home decor shopss,"
52,Mercato di Porta Nolana,"Via Porta Nolana, Naples, Italy.",3,40.85061448980312  14.268181817006692,"Mercato di Porta Nolana: A bustling street market offering a wide variety of fresh produce, seafood, clothing, and household items. home decor shops offering discounted prices."
53,Mercato di Pignasecca,"Piazza Pignasecca, Naples, Italy.",3,40.84527647513718  14.248716776524251,"Mercato di Pignasecca: A vibrant street market known for its fresh fruits, vegetables, cheeses, and local delicacies."
54,Mercato di Antignano,"Via Gabriele Jannelli, Naples, Italy.",3,40.84798652953567  14.227371318806942,"Mercato di Antignano: A local market offering a range of fresh produce, meat, fish, and household goods"
55,AZZURRO,"Via Vicinale Cupa Cintia, 249/251, 80126 Napoli NA, Italy",3,"40.84087559232534, 14.190965349956327","Bright shopping complex featuring a large supermarket, fashion chains & an electronics superstore."
56,Centro Commerciale Auchan Giugliano," Via Campana, 80144 Giugliano in Campania NA, Italy (near Naples).",3,40.934219776276414 14.149526659343987,"Centro Commerciale Auchan Giugliano: A large shopping mall featuring a variety of retail stores, a hypermarket, and entertainment options products."
57,Centro Commerciale Campania," Via Santa Maria a Cubito, 81025 Marcianise CE, Italy (near Naples).",3,41.004429524105696  14.327877588174172,"Centro Commerciale Campania: One of the largest shopping centers in the region, offering a wide range of stores, restaurants, and entertainment facilities."
58,Centro Direzionale," Via Galileo Ferraris, 80142 Naples NA, Italy.",3,40.858385900986974  14.283541876067877,"Centro Direzionale: A business district that also houses several shopping centers, including Centro Direzionale Galleria, where you can find various shops,"
59,Napoli Est,"Via Argine, 80147 Naples NA, Italy.",3,40.870928508014465  14.296402255939658,"Napoli Est: A shopping center featuring a mix of national and international retail brands, as well as restaurants and entertainment options"
60,Christmas Alley,"Via S. Gregorio Armeno, 14/58, 80138 Napoli NA, Italy",3,"40.85438035891205, 14.257226639365934","The pedestrian street is only about 200 meters long, but it’s filled with artisan workshops and hundreds of nativity scenes, known as presepe."
61,T Fondaco dei Tedeschi,"Calle del Fontego dei Tedeschi, 30124 Venice, Italy",5,45.43841509087124 12.336788710984605,"T Fondaco dei Tedeschi is a luxurious shopping center housed in a historic building near the Rialto Bridge. It offers a wide range of high-end fashion, accessories, and lifestyle products."
62,Mercerie,"Mercerie, 30124 Venice, Italy",5,45.43982329348793 12.337896828172703,"Mercerie is a famous shopping street in Venice lined with a variety of shops, including fashion boutiques, jewelry stores, and artisanal shops."
63,Calle Larga XXII Marzo,"Calle Larga XXII Marzo, 30124 Venice, Italy",5,45.43306166210845 12.334718337969898,"Calle Larga XXII Marzo is another popular shopping street known for its luxury brands, designer stores, and upscale boutiques."
64,Rialto Market,"Campo della Pescheria, 30125 Venice, Italy",5,45.439768426925596 12.333705811798483,"Rialto Market is a vibrant and bustling market where you can find fresh produce, seafood, local delicacies, and souvenirs."
65,Fondaco dei Turchi,"Calle del Fontego dei Turchi, 30135 Venice, Italy",5,45.44207165860623 12.32842839564193,"Fondaco dei Turchi is a historical building that now houses a museum and a selection of shops selling traditional Venetian crafts, textiles, and artwork."
66,Frezzeria,"Frezzeria, 30124 Venice, Italy",5,45.43454500223021 12.335587910984284,"Frezzeria is a charming street in Venice known for its boutique shops, including fashion, accessories, and artisanal products."
67,Salizada San Moisè,"Salizada San Moisè, 30124 Venice, Italy",5,45.43338524598484 12.336672953312787,"Salizada San Moisè is a picturesque street lined with upscale stores, luxury boutiques, and art galleries."
68,Via XXII Marzo,"Via XXII Marzo, 30124 Venice, Italy",5,45.136059591898636 12.085584322606302,"Via XXII Marzo is a well-known shopping street featuring international fashion brands, jewelry shops, and high-end retailers."
69,Strada Nova,"Strada Nova, 30121 Venice, Italy",5,45.441548159584016 12.33372009564191,"Strada Nova is a lively street with an array of shops, including clothing stores, souvenir shops, and local artisan crafts."
70,Mercato di Rialto,"Campo della Pescaria, 30125 Venice, Italy",5,45.439794083769016 12.333722957529005,"Mercato di Rialto is an iconic market in Venice, offering various goods, including fresh produce, spices, fish, and local products."
71,Calle dei Fabbri,"Calle dei Fabbri, 30124 Venice, Italy",5,45.43542064249645 12.336791366805771,"Calle dei Fabbri is a charming street filled with boutique shops, art galleries, and unique artisanal crafts."
72,Campo Santo Stefano,"Campo Santo Stefano, 30124 Venice, Italy",5,45.43340447672624 12.330431809134149,"Campo Santo Stefano is a lively square that hosts various markets and is surrounded by shops offering clothing, accessories, and local products."
73,Le Mercerie del Capitello,"Le Mercerie del Capitello, 30122 Venice, Italy",5,45.43640474074816 12.337354395641528,"Le Mercerie del Capitello is a hidden gem with a selection of boutique shops, antique stores, and unique handmade items."
74,Calle del Paradiso,"Calle del Paradiso, 30125 Venice, Italy",5,45.43749121056667 12.334330937970144,"Calle del Paradiso is a narrow alleyway known for its artisan workshops, vintage clothing stores, and local craftsmanship."
75,Calle Larga San Marco,"Calle Larga San Marco, 30124 Venice, Italy",5,45.43534531410696 12.339490724477178,"Calle Larga San Marco is a bustling street near St. Mark's Square, offering a mix of designer boutiques, upscale shops, and souvenir stalls."
76,Libreria Acqua Alta,"Calle Longa Santa Maria Formosa, 5176/B, 30122 Venice, Italy",5,45.43807010963985 12.342173978448717,"Libreria Acqua Alta is a unique bookstore filled with books stacked in gondolas and bathtubs, creating a whimsical shopping experience."
77,Squero di San Trovaso,"Dorsoduro, 3052, 30123 Venice, Italy",5,45.4304219558334 12.325899324476875,Squero di San Trovaso is a traditional gondola boatyard where you can witness the craftsmanship of gondola-making and find nautical-themed souvenirs.
78,Ba?ù,"Calle del Scaleter, 2888/A, 30122 Venice, Italy",5,45.43875506479433 12.329299094768464,"Ba?ù is a concept store offering a curated selection of unique fashion, accessories, and home decor items from emerging designers."
79,Via Garibaldi,"Via Giuseppe Garibaldi, 30122 Venice, Italy",5,45.43246306629741 12.353157295641282,"Via Garibaldi is a lively street in the Castello district, known for its local shops, artisanal products, and charming cafes."
80,I Tre Mercanti,"Calle dei Fabbri, 1323, 30124 Venice, Italy",5,45.436382840786166 12.339383724477264,Elegant boutique carrying gourmet Italian foods & wines & making tiramisu in many different flavors.
81,Via de' Tornabuoni,"City center, Florence",4,43.77106432439211  11.251374096494624,Prestigious shopping street with high-end fashion boutiques.
82,Mercato Centrale," Piazza del Mercato Centrale, Florence",4,43.77647215072686  11.25283227031003, Indoor food market with fresh produce and local delicacies.
83,San Lorenzo Market,"Piazza San Lorenzo, Florence",4,43.77663799817249  11.252844525330863,Vibrant market for leather goods and souvenirs.
84,Ponte Vecchio," Across the Arno River, Florence",4,43.76806443138688  11.253186411838058,Historic bridge with jewelry shops.
85,Via del Corso,"City center, Florence",4,43.771589581133114  11.256695352315171, Popular shopping street with international brands.
86,The Mall Firenze," Via Europa 8, Leccio Reggello, Florence",4,43.778438270344076  11.247499744563758,Luxury outlet shopping destination.
87,Oltrarno District,"South of the Arno River, Florence",4,43.76617904140871  11.2501486086048, Bohemian neighborhood with artisan workshops and antique stores.
88,Via dei Calzaiuoli,"City center, Florence",4,43.77166511766622  11.25532686765872,Lively street with shops and boutiques.
89,Via Maggio,"Oltrarno District, Florence",4,43.76671893452393  11.248835009986706,Street with antique shops and art galleries.
90,Via Roma," City center, Florence",4,43.77234497415806  11.25444982533061, Bustling street with department stores and fashion boutiques.
91,Via del Proconsolo,"City center, Florence",4,43.77132141855673  11.257957825330573, Charming street with artisan workshops and shops.
92,Via Strozzi,"City center, Florence",4,43.77168971227526  11.25248000998699,Prestigious street with high-fashion stores.
93,Via della Vigna Nuova," City center, Florence",4,43.77129813956082  11.249635967658776, Street with international fashion brands and boutique shops.
94,Via dei Benci:,"Santa Croce neighborhood, Florence",4,43.767965892550905  11.259554938822665,Lively street with trendy fashion boutiques.
95,Via Por Santa Maria," City center, Florence",4,43.76903484307901 11.253781881150903, Pedestrian street with shops and restaurants.
96,Via Magenta,"Near Santa Maria Novella train station, Florence",4,43.77613117879981 11.239742309987209,Street with vintage clothing stores.
97,Via dei Serragli,"Oltrarno District, Florence",4,43.76527898971804  11.244224209986555,Street with artisan workshops and vintage shops.
98,Via dei Servi,"City center, Florence",4,43.774916262326016  11.25862602533079,Street with shops and cafes.
99,Officina Profumo-Farmaceutica di Santa Maria Nov20. Via Roma,"City center, Florence",4,43.772108616517286 11.254623309986988,Bustling street with department stores and fashion boutiques.
100,Via del Proconsolo,"City center, Florence",4,43.77125943962089 11.257968554166476, Charming street with artisan workshops and shops.
101,Via Strozzi,"City center, Florence",4,43.771658723006205  11.25248000998699, Prestigious street with high-fashion stores.
102,Via della Vigna Nuova," City center, Florence",4,43.77132138165425  11.249635967658776, Street with international fashion brands and boutique shops.
103,Santa Trinita Market,"Piazza Santa Trinita, Florence",4,43.77016234132639  11.251303809986902," An open-air market where you can find clothing, shoes,"
104,Porta Rossa,": Shopping street known for boutique stores and high-end fashion brands, offering a mix of clothing, accessories, and luxury items.",4,43.770399573443065  11.25368682533048,"end fashion brands, offering a mix of clothing, accessories, and luxury items."
