id,name,address,city_id,location,description,time,price
362,Disco Planet Rome,"Via del Commercio, 36, 00154 Roma RM, Italy",1,41.87287026998206 12.475808921887781,"Busy nightclub with multiple rooms & dance floors offering live bands & themed nights, plus a bar.",1,50
363,Sharivari,"Via de Nari, 14, 00186 Roma RM, Italy",1,41.89813384139835 12.47603553805878,"Elegant & glamorous venue with an Italian fine dining restaurant, a bistro & a stylish nightclub.",3,60
364,Yellow Bar,"Via Palestro, 40, 00185 Roma RM, Italy",1,41.90549788598787 12.504623530116069,"Low-lit, buzzing restaurant/bar in a hostel, with live music & an underground club.",2,25
365,Mag Cafe,"Ripa di Porta Ticinese, 43, 20143 Milano MI, Italy",2,45.45137380174303 9.173410528562401,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,2,50
366,Moscow Mule Bar,"Via Teodosio, 60, 20131 Milano MI, Italy",2,45.48691299523624 9.230104335554646,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,1,60
367,Il Bar,"Via Teodosio 60, Milan, 20131",2,45.46488794489 9.19186033555871,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,2,50
368,Moscow Mule Bar,"Via Cardinale Ascanio Sforza 37, Milan, 201362.",2,45.486935560288565 9.230039962540317,"Moscow Mule Bar: This is a cocktail bar located at Via Teodosio 60, Milan1. The bar is known for its Moscow mule, a cocktail made with vodka",3,35
369,Coba Happy Hour Navigli Milano,"Via Ascanio Sforza, 37, 20136 Milano MI, Italy",2,45.448550963202834 9.177362777880898,"Ascanio Sforza 37, Milan2, this place is known for its aperitivo hours where drinks are accompanied by finger food3.",1,35
370,Frida,"Viale Premuda 7, Milan, 20129",2,45.458039780365205 9.175339464339972,"Frida: Located in Milan, Frida is a bar and shop that has changed the history of the Isola district",1,75
371,Lab Milano Cocktail Bar,"Viale Monza 140, Milan, 20127",2,45.46411712261373 9.207083564386444,"It is known for its experimentation, creation, and research of new flavors and sensations.",1,70
372,Zelig Cabaret,"Via Cardinale Ascanio Sforza 21, Milan, 20136",2,45.50417003266416 9.222361977880084,It offers high-quality live music every evening from Tuesday to Saturday,2,40
373,Ginger Cocktail Lab,"Via Emilio Gola 12, Milan",2,45.44975079758872 9.177653809135325,It is the perfect address for those seeking moments of pure pleasure and fun in the Milanese nightlife,3,50
374,10gradinord,"Ippolito Rosellini 1, Zona Isola - Stazione Centrale - Garibaldi - Corso Como, Milan, 20124",2,45.44429922991731 9.154419289529445,over the years has witnessed performances by artists of great prestige both in Italy and abroad,1,70
375,CAPRICCIO Exclusive Club Milano,"Via Emilio Gola 12, Milan",2,45.48841007943055 9.193648864395378,offers lowed parties and excelent drinks.,1,50
376,Nidaba Theatre - Live Music Navigli Milano,"åÊVia dei Piccolomini 5, 20151 Milano",2,45.44901478024667 9.17581989323408,"fun and transgression, immersing yourself in an enveloping and engaging atmosphere10.",3,60
377,San Siro Stadium,"Via dei Piccolomini 5, 20151 Milano",2,45.47816345147721 9.124044279734743,"San Siro, officially known as Stadio Giuseppe Meazza, is a football stadium in the San Siro district of Milan, Italy, which is the home of A.C.",1,25
378,La Scala Opera House,"Piazza della Scala, Milan",2,45.46747734286862 9.189578022068918,"Nestled in the heart of Milan, Teatro alla Scala, commonly known as La Scala, is one of the world‰Ûªs most iconic and prestigious opera houses",1,50
379,Castello Sforzesco,"Piazza Castello, Milan",2,45.4705890581159 9.179294949052773,"This is a medieval fortification located in Milan, Northern Italy",1,55
380,Galleria Vittorio Emanuele II,"Piazza del Duomo, Milan",2,45.46607092766959 9.189941347846336,"Galleria Vittorio Emanuele II: This is Italy‰Ûªs oldest active shopping gallery and a major landmark of Milan, Italy",1,45
381,Duomo di Milano:,"Piazza del Duomo, Milan",2,45.46413832526434 9.191911955650484,"The Milan Cathedral, also known as Duomo di Milano, is a mind-blowing journey among art, history",1,45
382,Rock‰Ûªn‰Ûªroll Milano,"Via Giuseppe Bruschetti, 11, 20125 - Milano",2,45.49268259761525 9.207582977890452,This is a unique place that offers a selection of crafted drinks that are sharp and refreshing to the senses.,3,23
383,Bar Matricola,"Via Caminadella 20, Milan, 20143",2,45.4657783037244 9.175356169057729,This is a nice place where you can reserve a table or even a small space for yourselves.,1,43
384,Hole Rabbit CafÌ¬:,"Via Giuseppe Mazzini 20, Milan,20123",2,45.46180397549449 9.18842832206119,"This cafÌ© is an Alice in Wonderland-themed tea room, the first of its kind in Italy",3,12
385,The Lounge Bar:,"Piazza della Repubblica 20, Milan,20124",2,45.48055440946163 9.199831924070043,"The Lounge Bar is located in The Westin Palace, Milan. It‰Ûªs a popular meeting place for both locals and international travelers",3,34
386,Piazza Bellin,"Piazza Bellini, Naples, Italy.",3,40.84996623004733 14.252255680775132,"Piazza Bellini: A vibrant square known for its lively nightlife scene, with numerous bars, cafes, and live music venues",1,50
387,Via dei Tribunal,"Via dei Tribunali, Naples, Italy.",3,40.851622971186295 14.258811145831396,"Via dei Tribunali: A popular street in the historic center, lined with bars, pubs, and small clubs. Its a great place for bar hopping and enjoying the energetic atmosphere",1,60
388,Lungomare Caracciolo,"Lungomare Caracciolo, Naples, Italy.",3,40.82820459966301 14.221175117005366,"Lungomare Caracciolo: A scenic promenade along the waterfront, offering a variety of bars, restaurants, and clubs with stunning views of the bay",1,50
389,Vomero,"Vomero district, Naples, Italy.",3,40.84345596862755 14.222263130735039,Vomero,2,35
390,Quartieri Spagnoli,"in the Spanish Quarter (Quartieri Spagnoli), Naples, Italy.",3,40.842996831187456 14.247183598207501,"Quartieri Spagnoli: A vibrant and authentic neighborhood with many local bars, taverns, and late-night spots. Its a great place to experience the local nightlife scene.",2,35
391,Piazza San Domenico Maggiore,"Piazza San Domenico Maggiore, Naples, Italy.",3,40.848659038842506 14.255170490025531,Piazza San Domenico Maggiore: A charming square surrounded by historic buildings and filled with bars and outdoor seating.,2,75
392,Via Partenope,"Via Partenope, Naples, Italy",3,40.830087259492544 14.24549477471527,"Via Partenope: A waterfront street with a selection of bars and clubs, offering a lively atmosphere and beautiful views of the sea.",1,70
393,Via Toledo,"Via Toledo, Naples, Italy.",3,40.84290602172316 14.248883542363032,"Colorful Trastevere is a funky, bohemian area that clings to its centuries-old, working-class roots. Its known forVia Toledo: A bustling street with a mix of bars, cafes, and late-night venues. Its a popular spot for socializing and enjoying the vibrant atmosphere",1,40
394,Chiaia,"the Chiaia district, Naples, Italy.",3,40.83616017730097 14.233442927748316,"Chiaia: A trendy neighborhood known for its upscale bars, cocktail lounges, and stylish nightlife venues.",3,50
395,Rione SanitÌÊ,"the SanitÌÊ district, Naples, Italy.",3,40.85907009737598 14.254342381556192,"Rione SanitÌÊ: A historic neighborhood with a growing nightlife scene, featuring bars, music venues, and cultural spaces.",3,70
396,Teatro Bellini,"Via Conte di Ruvo, 14, 80135 Naples NA, Italy.",3,40.85128822191436 14.251053015589855,"Teatro Bellini: A renowned theater that hosts a variety of performances, including theater shows, concerts, and DJs. Its a unique nightlife experience in a cultural setting",2,50
397,Borgo Marinari,"Borgo Marinari, Naples, Italy.",3,40.830904856109846 14.248086060333234,Borgo Marinari: A picturesque area with a selection of bars and restaurants located on a small island near the Castel dellOvo.,2,60
398, Piazza San Pasquale,"t Piazza San Pasquale, Naples, Italy.",3,40.834347946216745 14.236365352397153,"Piazza San Pasquale: A lively square with several bars and pubs, known for its vibrant nightlife and social gatherings",2,25
399,Piazza San Domenico Maggiore,"Piazza San Domenico Maggiore, Naples, Italy.",3,40.8486428073012  14.255138296358506,"square with a mix of bars, cafes, and clubs, offering a diverse range of nightlife options",3,44
400,Via Partenope,"Via Partenope, Naples, Italy.",3,40.83009537738777 14.245548411701392,"A waterfront street with a selection of bars and clubs, offering a lively atmosphere and beautiful views of the sea.",2,45
401,Pozzuoli,"in Pozzuoli, Naples, Italy.",3,40.84685248123578  14.083042636544471,"A coastal town near Naples with a vibrant nightlife scene, featuring bars, clubs, and beachfront venues.",1,54
402,Vico San Pietro a Majella,"Vico San Pietro a Majella, Naples, Italy.",3,40.84984319864723  14.252366396358557,A narrow street in the historic center known for its jazz bars and live music venues. Its a great place for music enthusiasts and those who enjoy a laid-back atmosphere,3,65
403,Via Toledo Underground,"Via Toledo, Naples, Italy.",3,40.84317949066407  14.249018945032248,"An underground space hosting events, concerts, and DJ performances. It offers a unique and alternative nightlife experience.",2,56
404,Via Mezzocannone,"Via Mezzocannone, Naples, Italy.",3,40.84674654272337  14.256055409850479,"A street in the university district, featuring a variety of bars, pubs, and student hangouts. Its a vibrant area with a youthful atmosphere.",2,45
405,Molo Beverello,"Molo Beverello, Naples, Italy.",3,40.83837091115347  14.254583881014058,"The main port area of Naples, offering a range of bars and restaurants with waterfront views",3,34
406,Skyline Rooftop Bar,"San Marco, 30124 Venice",5,45.428154880168364 12.320120093484084,Skyline Rooftop Bar offers breathtaking views of the Venice skyline. Enjoy a wide range of cocktails and live music while taking in the citys beauty.,3,15
407,Bacaro Jazz Club,"Dorsoduro, 30123 Venice",5,45.438426493589326 12.337163268656042,Bacaro Jazz Club is a popular spot for jazz enthusiasts. Sip on your favorite drink while listening to live jazz performances in an intimate and cozy setting.,1,10
408,Lido Beach Bar,"Lido di Venezia, 30126 Venice",5,45.41438035686907 12.377185353099454,"Lido Beach Bar is the perfect place to unwind by the beach. Enjoy refreshing cocktails, lounge on sunbeds, and take a dip in the Adriatic Sea.",2,8
409,Harrys Bar,"San Marco, 30124 Venice",5,45.432649050443054 12.337351810333082,Harrys Bar is a historic Venetian institution known for its classic cocktails and elegant atmosphere. Experience the charm of this iconic bar frequented by famous personalities.,2,20
410,Cafe Noir,"Cannaregio, 30121 Venice",5,45.43611308367388 12.325304839820115,"CafÌÄå© Noir is a trendy cafÌÄå© by day and a lively bar by night. Savor delicious coffee, indulge in tasty snacks, and enjoy the vibrant atmosphere.",2,7
411,Bacaro Veneto,"Castello, 30122 Venice",5,45.43597624012882 12.325980695637,Bacaro Veneto is a traditional Venetian wine bar. Sample a variety of local wines and savor delectable cicchetti (small snacks) in a cozy and authentic setting.,2,12
412,Jazz Club Venice,"Santa Croce, 30135 Venice",5,45.43338289220982 12.323896110984217,"Jazz Club Venice offers an eclectic mix of jazz, blues, and soul music. Immerse yourself in the soulful melodies while enjoying your favorite drink.",2,15
413,Novecento Jazz Club 900,"Campiello del Sansoni, 900, 30125 Venezia VE, Italy",5,45.438884612197604 12.332600342203314,"Novecento Jazz Club 900 offers an intimate and cozy space for jazz enthusiasts. Enjoy live jazz music, friendly ambiance, and a wide selection of drinks.",2,10
414,Giudecca 795 Art Gallery,"Giudecca, 30133 Venice",5,45.42705733706576 12.324006636884436,Giudecca 795 Art Gallery is a contemporary art space showcasing works from local and international artists. Explore the vibrant art scene of Venice in this unique gallery.,3,0
415,Cipriani Bar,"Giudecca, 30133 Venice",5,45.42740516538459 12.341075130116065,Cipriani Bar is a luxurious waterfront bar offering stunning views of the lagoon. Enjoy signature cocktails and a sophisticated ambiance in this iconic Venetian establishment.,3,25
416,Bauer Palazzo Rooftop Bar,"San Marco, 30124 Venice",5,45.4323846070704 12.33620076746849,Bauer Palazzo Rooftop Bar provides panoramic views of Venices landmarks. Indulge in a wide selection of drinks and experience the citys charm from above.,1,20
417,Piccolo Mondo,"Cannaregio, 30121 Venice",5,45.43183544867263 12.327395666805542,Piccolo Mondo is a lively bar known for its energetic atmosphere and live music performances. Dance the night away and enjoy a vibrant nightlife experience.,1,10
418,Acqua Alta Bookstore,"Castello, 30122 Venice",5,45.438175504443926 12.342324182148804,Acqua Alta Bookstore is a unique bookstore with a charming twist. Enjoy a drink amidst stacks of books and experience the cozy and eccentric ambiance.,3,0
419,Bacaro Dai Mori,"San Polo, 30125 Venice",5,45.43904714928625 12.334050353736009,Bacaro Dai Mori is a traditional Venetian wine bar with a rich selection of local wines and delicious cicchetti. Immerse yourself in the local culture and flavors.,1,12
420,La Fenice Opera House,"San Marco, 30124 Venice",5,45.4337203878043 12.333736437969938,La Fenice Opera House is a historic venue offering breathtaking opera performances. Witness world-class talent in an opulent setting for an unforgettable night.,1,15
421,Bacaro Rosso,"Dorsoduro, 30123 Venice",5,45.550258235785044 12.310143080306643,Bacaro Rosso is a cozy wine bar serving an extensive selection of wines and delectable Venetian dishes. Experience the local culinary delights in a warm ambiance.,3,15
422,Venissa Wine Resort,"Mazzorbo, 30142 Venice",5,45.48871091437793 12.411144195645216,Venissa Wine Resort is a vineyard and wine bar located on the island of Mazzorbo. Taste exquisite local wines and enjoy the serene atmosphere of the Venetian lagoon.,2,30
423,Osteria Al Squero,"Dorsoduro, 30123 Venice",5,45.430247056299976 12.326214568655397,Osteria Al Squero is a charming bar near a gondola workshop. Sip on a glass of wine and watch the gondoliers at work while enjoying the authentic Venetian vibe.,2,10
424,Cantina Do Mori,"San Polo, 30125 VeniceVenice",5,45.43911542029395 12.333987980298884,"Cantina Do Mori is one of the oldest wine bars in Venice, dating back to 1462. Step into history and enjoy a glass of wine in this atmospheric and traditional establishment.",2,10
425,The Gritti Palace Terrace,"San Marco, 30124 Venice",5,45.43196136790368 12.333323153312689,The Gritti Palace Terrace is a luxurious rooftop bar offering stunning views of the Grand Canal. Indulge in exquisite cocktails and soak in the opulence of Venice.,3,30
426,Peggy Guggenheim Collection,"Dorsoduro, 30123 Venice",5,45.43101662927538 12.331537395641181,Peggy Guggenheim Collection is a renowned modern art museum. Discover masterpieces by prominent artists and enjoy the vibrant art scene in the heart of Venice.,1,15
427,Red Garter,"Via de' Benci, 33",4,43.76836469187916  11.25974135231494,"Lively pub with live music, karaoke, and a vibrant atmosphere.",3,50
428,The Blob Club,"Via Vinegia, 21/r",4,43.76891828170419  11.257509125330413," Popular nightclub playing a mix of music genres, from rock to electronic.",3,60
429,Space Electronic Disco Club,"Via Palazzuolo, 37",4,43.77381941208471  11.24630386765888,Underground electronic music venue with multiple dance floors.,3,50
430,Jazz Club Firenze,"Via Nuova de' Caccini, 3",4,43.77364993005363  11.263129996494765,Intimate jazz club hosting live performances by local and international artists.,3,35
431,Lion's Fountain Pub,"Via del Giglio, 49",4,43.771689206953496  11.261546311838273," Irish pub featuring live sports screenings, pub quizzes, and a wide selection of beers.",3,35
432,Bitter Bar,"Via di Mezzo, 28r",4,43.71620377335088  11.28422277487975, Upscale cocktail bar with a refined atmosphere and an extensive drink menu.,2,75
433,YAB Disco Club,"Via Sassetti, 5r",4,43.77102791931721  11.252681725330541,Stylish nightclub with multiple dance floors and a mix of music genres.,1,70
434,Mayday Club,"Via Dante Alighieri, 16",4,43.77112426647661  11.256593338822828,"Late-night club with a dance floor, DJ sets, and a trendy atmosphere.",3,40
435,Rex CafÌ©,"Piazza della Repubblica, 6R",4,43.77268477340966 11.26320500998696," Chic cafÌ©-bar offering cocktails, live music, and a terrace with panoramic views.",2,50
436,Full Up Club ,"Via della Vigna Vecchia, 23r",4,43.7702493936777  11.258863038822758,Nightclub playing a mix of music genres and hosting regular themed parties.,1,70
437,Tenax Club,"Via Pratese, 46",4,43.79907592178722  11.195229340675793,Renowned club known for its electronic and techno music events.,2,50
438,Moyo," Via dei Benci, 23r",4,43.76828162198765  11.259612408135453,"Cocktail bar with a relaxed ambiance, outdoor seating, and a wide range of drinks.",2,60
439,Negroni,"Via dei Renai, 17r",4,43.76822199914468  11.258593783855463, Trendy cocktail bar with a stylish interior and expertly crafted drinks.,1,25
440,Rasputin Disco Pub,"Via Pier Capponi, 1",4,43.76649688304835 11.248074725330342,Russian-themed nightclub with multiple dance floors and live DJ performances.,1,44
441,The Fusion Bar ,"Via del Ghibellina, 70r",4,43.76901093382141  11.25321075416632 ,"Lounge bar offering a fusion of cocktails, sushi, and live music.",1,45
442,Slowly Club,"Via Porta Rossa, 63",4,43.88170687721324  11.256453811007072," Cosy nightclub with a dance floor, DJ sets, and a friendly atmosphere.",3,54
443,Volume,"Piazza Santo Spirito, 5r",4,43.7668254342757  11.247837067658484,"Artistic venue hosting live music, DJ sets, and cultural events.",3,65
444,The Friends Pub,"Via de' Pepi, 51",4,43.770623170687344  11.250934164070319,"Cozy pub with a warm atmosphere, offering a selection of beers and spirits. ",2,56
445,Rivoire,"Piazza della Signoria, 5-6r",4,43.769751570210744 11.255085496494521," Historic cafÌ© with outdoor seating, known for its hot chocolate and pastries.",3,45
446,Zoe,"Piazza Santa Maria Novella, 20r",4,43.76556532992247 11.260219383652483, Lounge bar and restaurant with a sophisticated ambiance and signature cocktails.,3,34
447,The Blob Firenze,"Via del Proconsolo, 9r",4,43.768887290999125  11.257444752315003,Eclectic bar with a unique interior and a mix of music genres.,2,55
448,The Beer House Club,"Via de' Benci, 23r",4,43.76762609944837  11.260033742525252,Lively pub offering a wide selection of craft beers and live sports screenings.,2,60
449,Colle Bereto,"Piazza Strozzi, 5r",4,43.77112653463012 11.252039781151037," Rooftop bar with panoramic views of Florence, serving cocktails and light bites.",1,65
450,Oibo - Beer e Burger,"Via dei Benci, 34r",4,43.768698739032935  11.260299983002195,Casual bar offering a variety of beers on tap and gourmet burgers.,1,45
451,Rari Nantes Florentia,"Viale Paoli, 3",4,43.76659939407486  11.275888098033125,Sports bar with big screens for watching live sports events and a friendly atmosphere.,3,23
