id,name,address,city_id,location,description,price,place type,food_type
20,Hotel Vilon,"Via dell'Arancio, 69, 00186 Roma RM, Italy",1,41.9059421938531 12.476676105313542,,350,hotel,
21,Hotel Splendide Royal,"Via di Porta Pinciana, 14, 00187 Rome, Italy",1,41.90809521694122 12.486773281910532,,140,hotel,
22,Hotel Adriano,"Via di Pallacorda, 2, 00186 Rome, Italy",1,41.90228219233538 12.475510480060118,,250,hotel,
23,Hotel Quattro Fontane,"Via delle Quattro Fontane, 16, 00184 Rome, Italy",1,41.90023416969737 12.499937249907134,,200,hotel,
24,Hotel Isa,"Via Cicerone, 39, 00193 Rome, Italy",1,41.907065335168696 12.468977924238992,,150,hotel,
25,Hotel Santa Maria,"Vicolo del Piede, 2, 00153 Roma RM, Italy",1,41.891722104369606 12.47041029886061,,100,hotel,
26,Hotel San Anselmo,"Piazza SantAnselmo, 2, 00153 Rome, Italy",1,41.882233500795216 12.479393637730261,,80,hotel,
27,Hotel Forum,"Via Tor de Conti, 25-30, 00184 Rome, Italy",1,41.894095170853824 12.487707424238144,,150,hotel,
28,Hotel Majestic Roma,"Via Vittorio Veneto, 50, 00187 Rome, Italy",1,41.90570918419164 12.48778916471744,,350,hotel,
29,Hotel Ponte Sisto,"Via dei Pettinari, 64, 00186 Rome, Italy",1,41.8934933775578 12.472037672116816,,200,hotel,
30,Hotel Mozart,"Via dei Greci, 23, 00187 Rome, Italy",1,41.90790507870516 12.477850548149615,,150,hotel,
31,"The Spa at Four Seasons Hotel Milano
1. Four Seasons Hotel Milano","Via Gesu, 6/8, 20121 Milano MI, Italy",2,45.4692189063453 9.195258206708136,,50,hotel,
32,Baglioni Hotel Carlton,"Via Senato, 5",2,45.47292694643953 9.192488517486964,,150,hotel,
33,Armani Hotel Milano," Via Manzoni, 31",2,45.4707174004707 9.19288253554521,,120,hotel,
34,Grand Hotel et de Milan ," Via Manzoni, 29",2,45.47000892541901 9.192433162539787,,250,hotel,
35,"The Westin Palace, Milan","Piazza della Repubblica, 20",2,45.478795894235176 9.199260922058958,,200,hotel,
36,Bulgari Hotel Milan,"Via Privata Fratelli Gabba, 7/B",2,45.470010465030136 9.189530535542609,,80,hotel,
37,Hotel Principe di Savoia,"Piazza della Repubblica, 17",2,45.48410826577781 9.197782925717764,,120,hotel,
38,ME Milan Il Duca," Piazza della Repubblica, 13",2,45.47949634477958 9.196094717926911,,400,hotel,
39,NH Collection Milano President," Largo Augusto, 10",2,45.46331771021254 9.197736218528945,,100,hotel,
40,Rosa Grand Milano," Piazza Fontana, 3",2,45.46397430674375 9.19401588124518,,90,hotel,
41,"Excelsior Hotel Gallia, a Luxury Collection Hotel ","Piazza Duca d'Aosta, 9",2,45.48593476971682 9.201355440750017,,140,hotel,
42,Sheraton Milan Malpensa Airport Hotel & Conference Centre ,Aeroporto Malpensa 2000,2,45.62762814690808 8.711160620236834,,240,hotel,
43,Hotel Milano Scala," Via dell'Orso, 7",2,45.469344926070406 9.1867449397892,,350,hotel,
44,Hotel Principe Di Savoia,"Piazza della Repubblica, 17",2,45.48262574457176 9.196575528394675,,250,hotel,
45,Room Mate Giulia," Via Silvio Pellico, 4",2,45.4656118269547 9.189569867335985,,100,hotel,
46,Hotel Manin,"Via Manin, 7",2,45.47413633962939 9.195885902177052,,200,hotel,
47,Hotel VIU Milan,"Via Aristotile Fioravanti, 6",2,45.48358472501871 9.177702710453234,,300,hotel,
48,NH Milano Touring,"Via Ugo Tarchetti, 2",2,45.47704118369528 9.196511518383016,,350,hotel,
49,Uptown Palace," Via Santa Sofia, 10",2,45.457745592531495 9.191981835581872,,140,hotel,
50,UNAHOTELS Cusani Milano," Via Cusani, 13",2,45.468816293964956 9.18345920354451,,250,hotel,
51,Hotel Dei Cavalieri," Piazza Giuseppe Missori, 1",2,45.46119844180991 9.188696577909345,,200,hotel,
52,Hotel Pierre Milano,"Via De Amicis, 32",2,45.459695370787884 9.17684558335797,,150,hotel,
53,Hotel Magna Pars,"Via Forcella, 6",2,45.45359793734293 9.166845211062736,,100,hotel,
54,Hotel Straf ," Via San Raffaele, 3",2,45.465504002334434 9.191000785744498,,80,hotel,
55,Hotel Milano Navigli," Alzaia Naviglio Grande, 8",2,45.4535074540873 9.18053673342967,,150,hotel,
56,Hotel VIU Milan," Via Aristotile Fioravanti, 6",2,45.48347941506482 9.177380845365473,,350,hotel,
57,NYX Hotel Milan," Piazza Quattro Novembre, 3",2,45.48729333072683 9.201819679763164,,200,hotel,
58,B&B Hotel Milano San Siro,"Via Achille Zezon, 6",2,45.480704191177196 9.123438396614663,,150,hotel,
59,Grand Hotel Vesuvio," Via Partenope, 45, 80121 Naples NA, Italy.",3,40.8380872423375  14.251142580360971,,50,hotel,
60,Romeo Hotel,"Via Cristoforo Colombo, 45, 80133 Naples NA, Italy.",3,40.8415235847282  14.255424027913602,,150,hotel,
61,Hotel Excelsior,"Via Partenope, 48, 80121 Naples NA, Italy",3,40.83017537722135  14.249590309849587,,120,hotel,
62,Eurostars Hotel Excelsior,"Via Partenope, 48, 80121 Naples NA, Italy.",3,40.83013287961239  14.24959166980103,,250,hotel,
63,UNAHOTELS Napoli," Piazza Giuseppe Garibaldi, 9/10, 80142 Naples NA, Italy.",3,40.85190701664029  14.267408565670854,,200,hotel,
64,Palazzo Caracciolo Napoli,"Via Partenope, 38/44, 80121 Naples NA, Italy.",3,40.85497359566896  14.261410152178977,,80,hotel,
65,Grand Hotel Parker's,"at Corso Vittorio Emanuele, 135, 80121 Naples NA, Italy.",3,40.837277130965525  14.22995420984997,,120,hotel,
66,Hotel Piazza Bellini,"Via Santa Maria di Costantinopoli, 101, 80138 Naples NA, Italy.",3,40.85065983457499  14.251679781014692,,400,hotel,
67,Hotel San Francesco al Monte,"Corso Vittorio Emanuele, 328, 80135 Naples NA, Italy.",3,40.84348264951901  14.244504896358173,,100,hotel,
68,Palazzo Alabardieri," Via Alabardieri, 38, 80121 Naples NA, Italy.",3,40.83948384215477  14.248806140537877,,90,hotel,
69,Hotel Santa Brigida,"Via Santa Brigida, 6, 80132 Naples NA, Italy.",3,40.839475725311566  14.248752496357996,,140,hotel,
70,Renaissance Naples Hotel Mediterraneo,"Via Ponte di Tappia, 25, 80133 Naples NA, Italy.",3,40.841184154304585  14.25057653868617,,240,hotel,
71,Palazzo Salgar,"Via dei Mille, 64, 80121 Naples NA, Italy.",3,40.846400339537716  14.263999681014445,,350,hotel,
72,Grand Hotel Oriente," Via Armando Diaz, 44, 80134 Naples NA, Italy.",3,40.84267343473535  14.25024925403015,,250,hotel,
73,Hotel San Pietro," Via San Pietro ad Aram, 18, 80138 Naples NA, Italy.",3,40.86655360560546  14.264098590590391,,100,hotel,
74,Hotel Paradiso,"Via Ottavio Tupputi, 9, 80139 Napoli NA, Italy",3,40.84686993722129 14.207105328101061,,200,hotel,
75,Hotel Palazzo Esedra," Piazza Giovanni Bovio 22, near the central train station.",3,40.83513338990712  14.24949648427931,,300,hotel,
76,Hotel Cavour, Situated in the historic center at Piazza Garibaldi 32.,3,40.8531982444697  14.26837422334287,,350,hotel,
77,Hotel Micalo,"Riviera di Chiaia 88, close to the waterfront and Castel dell'Ovo.",3,40.833002371336825  14.2269902810137,,140,hotel,
78,Hotel Albergo del Golfo:," Via Sedile di Porto 23, offering views of the Gulf of Naples.",3,40.84468817945561  14.255018396358246,,250,hotel,
79,Hotel Piazza Bellini & Apartments,"Via S. Maria di Costantinopoli 101, near Piazza Bellini.",3,40.85065983457499  14.251744154030545,,200,hotel,
80,Hotel Piazza Bellini & Apartments," Via S. Maria di Costantinopoli 101, near Piazza Bellini.",3,40.85064360362496  14.2517656117025,,150,hotel,
81,Hotel San Francesco,"at Corso Umberto I 104, in a former monastery in the historic center.",3,40.84344206774152  14.24448343868621,,100,hotel,
82,B&B Hotel Napoli,"P.za Giuseppe Garibaldi, 32, 80142 Napoli NA, Italy",3,40.85418564145672 14.267898931865965,,80,hotel,
83,Grand Hotel Vesuvio,"Via Partenope, 45, 80121 Napoli NA, Italy",3,40.83135039491359 14.24801363748908,,150,hotel,
84,Hotel Royal Prisco,"Via Posillipo 394, in the picturesque neighborhood of Posillipo.",3,40.63045456489176 14.484690367510648,,350,hotel,
85,Hotel Miramare,"Via Nazario Sauro 24, in the Mergellina neighborhood, overlooking the sea.",3,40.8345205563515  14.250919591906811,,200,hotel,
86,Hotel Nuvo," Nuova Agnano 5, in the Fuorigrotta district, close to sports facilities and exhibition centers.",3,40.81729995220598  14.175692428825293,,150,hotel,
87,Hotel Monaco & Grand Canal,"P.za San Marco, 1332/1238, 30100 Venezia VE, Italy",5,45.43247376656437 12.33693429312769,,300,hotel,
88,Aman Venice,"Calle Tiepolo, 1364, 30125 Venezia VE, Italy",5,45.4370591312262 12.331537896157487,,400,hotel,
89,Hilton Molino Stucky Venice,"Giudecca, 810, 30133 Venezia VE, Italy",5,45.42832807795654 12.320250184514691,,400,hotel,
90,Palazzo Veneziano - Venice Collection,"Fondamenta Zattere Al Ponte Lungo, 1413, 30123 Venezia VE, Italy",5,45.430805278570915 12.322806326843253,,500,hotel,
91,Canal Grande Hotel,"Campiello S. Simeone Grande, 932, 30135 Venezia VE, Italy",5,45.441545457789296 12.324089499857577,,180,hotel,
92,Hotel NH Venezia Santa Lucia - Formerly Hotel Bellini,"Rio Tera Lista di Spagna, 116/A, 30121 Venezia VE, Italy",5,45.44206486970939 12.322694751213914,,100,hotel,
93,Hotel Metropole,"Riva degli Schiavoni, 4149, 30122 Venezia VE, Italy",5,45.43416579309345 12.345199798007531,,200,hotel,
94,Rialto Unique Venice Experience,"Riva del Ferro, 5149, 30124 Venezia VE, Italy",5,45.437810685697734 12.336145957529016,,120,hotel,
95,Splendid Venice - Starhotels Collezione,"Mercerie, 760, 30124 Venezia VE, Italy",5,45.4362974887801 12.337454875486914,,140,hotel,
96,Hotel Papadopoli Venezia - MGallery,"Santa Croce 245, Giardini Papadopoli, 30135 Venezia VE, Italy",5,45.43810234176103 12.321170597292884,,380,hotel,
97,NH Collection Venezia Grand Hotel Palazzo dei Dogi,"Fondamenta Madona de l'Orto, 3500, 30121 Venezia VE, Italy",5,45.44677228053236 12.330962044553909,,250,hotel,
98,Hotel Ai Reali,"Calle Seconda de la Fava, 5527, 30122 Venezia VE, Italy",5,45.43717152208364 12.337866866196691,,150,hotel,
99,Hotel Abbazia,"Calle Priuli dei Cavaletti, 68, 30121 Venezia VE, Italy",5,45.442102867144534 12.321713271093067,,250,hotel,
100,Hotel Carlton on the Grand Canal,"Fondamenta del Monastero, 578, 30135 Venezia VE, Italy",5,45.44003986955301 12.322072850853809,,400,hotel,
101,Venezia Palazzo Barocci,"Corte de l'Albero, 3878 A, 30124 Venezia VE, Italy",5,45.43547811055205 12.330291920168044,,400,hotel,
102,Hotel Santa Chiara,"Santa Croce, 30135 Venezia VE, Italy",5,45.438603807157115 12.31954045760023,,300,hotel,
103,Hotel Principe,"Rio Tera Lista di Spagna, 146, 30121 Venezia VE, Italy",5,45.4421781223947 12.323493855750185,,250,hotel,
104,Hotel Saturnia & International Venezia,"Calle Larga XXII Marzo, 2398, 30124 Venezia VE, Italy",5,45.43289384260228 12.334244324348854,,200,hotel,
105,Al Ponte Antico,"Calle Aseo, 5768, 30125 Venezia VE, Italy",5,45.43883280090976 12.336442082191128,,150,hotel,
106,Ca 'Nigra Lagoon Resort - Venice,"Campiello S. Simeone Grande, 927, 30135 Venezia VE, Italy",5,45.44101194059503 12.324149029606392,,200,hotel,
107,Hotel Florida,"Calle Priuli dei Cavaletti, 106/A, 30121 Venezia VE, Italy",5,45.44192055891206 12.32209129992879,,180,hotel,
108,Hotel Royal San Marco,"S. Marco, 848, 30124 Venezia VE, Italy",5,45.43469546179546 12.337708262496605,,100,hotel,
109,Duodo Palace Hotel,"San Marco, Calle Minelli 1887-1888, 30124 Venezia VE, Italy",5,45.43445400477284 12.333902955750185,,150,hotel,
110,UNAHOTELS Ala Venezia,"Campo Santa Maria del Giglio, 2494, 30124 Venezia VE, Italy",5,45.43241607190943 12.332712528764507,,250,hotel,
111,Aqua Palace Hotel,"Calle de la Malvasia, 5492, 30122 Venezia VE, Italy",5,45.436656701907665 12.33859571527167,,250,hotel,
112,Hotel Antiche Figure,"Santa Croce, 687 Fondamenta San Simeon Piccolo, 30135 Venezia VE, Italy",5,45.440310952992455 12.322079806675207,,100,hotel,
113,Hotel Monaco & Grand Canal,"P.za San Marco, 1332/1238, 30100 Venezia VE, Italy",5,45.43240380090029 12.336923042257345,,200,hotel,
114,Hilton Molino Stucky Venice,"Giudecca, 810, 30133 Venezia VE, Italy",5,45.428284783274904 12.320282371093064,,500,hotel,
115,Hotel Iris,"Campo S. Toma, 2910, 30125 Venezia VE, Italy",5,45.43626333767644 12.32633957668725,,50,hotel,
116,Corte Canal Venice,"Corte Canal, 645a, 30135 Venezia VE, Italy",5,45.439906989046 12.324022148171627,,60,hotel,
117,Hotel Brunelleschi," Piazza Santa Elisabetta 3, Florence",4,43.77187866442428  11.255716352315137,,50,hotel,
118,Hotel Savoy,"Piazza della Repubblica 7, Florence",4,43.772025669440794  11.254535938822873,,150,hotel,
119,Portrait Firenze," Lungarno degli Acciaiuoli 4, Florence",4,43.76909262565899  11.252768552315045,,120,hotel,
120,Hotel Lungarno,"Borgo San Jacopo 14, Florence",4,43.7680979036615  11.251519862780485,,250,hotel,
121,Hotel Continentale,"Vicolo dell'Oro 6R, Florence",4,43.768992081541775 11.253466611838112,,200,hotel,
122,Hotel Bernini Palace,"Piazza di San Firenze 29, Florence",4,43.7693921759225  11.25760419649448,,80,hotel,
123,Four Seasons Hotel Firenze," Borgo Pinti 99, Florence",4,43.77710327716274  11.266366038823241,,120,hotel,
124,Hotel degli Orafi," Lungarno degli Archibusieri 4, Florence",4,43.76825433538948  11.254589283002199,,400,hotel,
125,Hotel Ville sull'Arno,"Lungarno Cristoforo Colombo 1, Florence",4,43.765909947936315  11.284702267658414,,100,hotel,
126,The St. Regis Florence," Piazza Ognissanti 1, Florence",4,43.77259716426933  11.24498097150814,,90,hotel,
127,Hotel Mulino di Firenze,"Via Villamagna 119, Florence",4,43.76251869875749  11.317015969509528,,140,hotel,
128,Hotel Degli Artisti:," Via del Giglio 87, Florence",4,43.777188844213555 11.242873688847778,,240,hotel,
129,J.K. Place Firenze,"Piazza Santa Maria Novella 7, Florence",4,43.77303403117064  11.249815425330596,,350,hotel,
130,Hotel Santa Maria Novella," Piazza Santa Maria Novella 1, Florence",4,43.77354721279  11.250084709987073,,250,hotel,
131,Hotel Torre Guelfa,"Borgo Santi Apostoli 8, Florence",4,43.769355333107605  11.252901983002284,,100,hotel,
132,Hotel Palazzo Vecchio," Via Solferino 2, Florence",4,43.77802326863081 11.249934796495001,,200,hotel,
133,Hotel Albani Firenze,"Via Fiume 12, Florence",4,43.777285237050485 11.25007129279237,,300,hotel,
134,NH Collection Firenze Porta Rossa,"Via Porta Rossa 19, Florence",4,43.77024927877319 11.252006254166389,,350,hotel,
135,Hotel Rivoli,": Via della Scala 33, Florence",4,43.77436617573765  11.247264667658953,,140,hotel,
136,Hotel Balestri,"Piazza Mentana 7, Florence",4,43.76733464150673 11.257967496494427,,250,hotel,
137,Hotel Cerretani Firenze - MGallery by Sofitel,"Via de' Cerretani 10, Florence",4,43.77375053574843  11.252279580099493,,200,hotel,
138,Hotel Home Florence,"Piazza Piave 3, Florence",4,43.76698064214859 11.268039956017486,,150,hotel,
139,Hotel L'Orologio," Piazza Santa Maria Novella 24, Florence",4,43.77363602423512  11.250259225330653,,100,hotel,
140,Hotel Spadai," Via dei Martelli 10, Florence",4,43.77535387810771  11.255842275212544,,80,hotel,
141,Hotel Calzaiuoli,"Via Calzaiuoli 6, Florence",4,43.77144608141184  11.255318852315126,,150,hotel,
142,Hotel degli Orafi,"Lungarno degli Archibusieri 4, Florence",4,43.768269830908004  11.254546367658591,,350,hotel,
143,Hotel Loggiato dei Serviti:," Piazza Santissima Annunziata 3, Florence",4,43.77677915109262  11.259993496494953,,200,hotel,
144,Hotel Tornabuoni Beacci,"Via de' Tornabuoni 3, Florence",4,43.77051305810226  11.25123852533046,,150,hotel,
145,Villa Borghese Gardens,"Piazzale Napoleone I, 00197 Roma RM, Italy",1,41.912983078988084 12.48516558006076,"Vast urban park with formally landscaped gardens, a lake & villas now housing important museums.",,natural,
146,Botanical Garden of Rome,"Largo Cristina di Svezia, 23 A - 24, 00165 Roma RM, Italy",1,41.89288280617462 12.462939079547962,"7,000 plant species from around the world, plus fountains, a bamboo grove & a Japanese tea garden.",,natural,
147,Monte Mario,"Monte Mario, 00136 Roma RM, Italy",1,41.91794165875352 12.450171371905292,"Forested hill offering a nature reserve, observatory & panoramic views of the city & its monuments.",,natural,
148,Gianicolo Hill,"Piazzale Giuseppe Garibaldi, 00165 Roma RM, Italy",1,41.89166933751176 12.461351280059397,"This historic, well-known hilltop terrace offers panoramic views of Rome.",,natural,
149,Parco degli Acquedotti,"Via Lemonia, 256, 00174 Roma RM, Italy",1,41.850548739851135 12.557414284514692,"Protected parkland with a Roman aqueduct & ancient archaeological sites, plus a former mill.",,natural,
150,Lake Bracciano,"Lago di Bracciano, Italy",1,42.13049402148912 12.234714392817125,"a popular place for sailing, swimming & scuba diving.",,natural,
151,Tiber Island,"Isola Tiberina, 00186 Roma RM, Italy",1,41.89076521851188 12.477205191159609,Compact island in a bend of the River Tiber with a number of historical buildings & monuments.,,natural,
152,Appian Way Regional Park,"Parco Regionale dell'Appia Antica, Via Appia Antica, 42, 00178 Roma RM, Italy",1,41.86846830399119 12.502436695400757,Park along 16 km of the Roman road preserving important ancient Roman tombs & villas.,,natural,
153,Villa Doria Pamphili,"Via di San Pancrazio, 00152 Roma RM, Italy",1,41.885406070114456 12.441598366566145,"Landscaped park on ancient noble Roman estate, with open-air concerts, nature trails & fountain.",,natural,
154,Ostia Beach,"Lido di Ostia, 00122 Roma RM, Italy",1,41.73698985513557 12.28517615956347,"Historical 150-meter jetty, first founded in 1940, ending in a circular observation space.",,natural,
155,Vatican Gardens,"Vatican City, 00120",1,41.9038103292675 12.450310168417394,"Formal gardens within Vatican City, featuring fountains, sculptures & landscaped greenery.",,natural,
156,Janiculum Hill,"Via Garibaldi, 00153 Roma RM, Italy",1,41.89158148443225 12.461404924237998,"Hilltop park known for its panoramic views, statues, and memorials, including a large statue of Giuseppe Garibaldi.",,natural,
157,Villa Celimontana,"Via della Navicella, 12, 00184 Roma RM, Italy",1,41.88402072333501 12.495179608894615,"Renaissance villa and park with ancient Roman ruins, gardens, and a summer jazz festival.",,natural,
158,Villa Ada Savoia,"Via Salaria, 00199 Roma RM, Italy",1,41.93295543180118 12.502058838058776,"Large park with a lake, trees, and walking paths, offering a peaceful retreat from the city.",,natural,
159,Parco Savello (Orange Garden),"Piazza Pietro D'Illiria, 00153 Roma RM, Italy",1,41.88523339523036 12.480388710744778,"Garden on the Aventine Hill with orange trees, rose beds, and a panoramic view of Rome.",,natural,
160,Parco Sempione,"Piazza Sempione, 20121 Milano MI",2,45.472517938322106 9.17696642500752,"Located in the heart of the city, Parco Sempione is one of the largest parks in Milan. It is characterized by its stunning views, dense trees",,natural,
161,Parco Nord Milano,"Via Clerici, 20121 Milano MI",2,45.467759533635366 9.186761957657998,"This vast natural park is one of the largest green spaces in Milan. It features expansive meadows, dense forests, and lakes. The park",,natural,
162,Parco Lambro," Via Martiri Oscuri, 20135 Milano MI",2,45.4960535105214 9.257584611602484,"Situated along the banks of the Lambro River, Parco Lambro offers a tranquil refuge in the city. It boasts wide green spaces, trees, and small lakes.",,natural,
163,Parco Sant'Agostino,"Piazzale Sant'Agostino, 20123 Milano M",2,45.704604588595224 9.672046913475333,"This peaceful park provides an escape from the noise and bustle of the city center. It features dense trees, beautiful landscapes",,natural,
164,Giardini della Guastalla,"Pescheria barocca, Via Francesco Sforza, 20122 Milano MI, Italy",2,45.46172153448599 9.19604345223511,"Situated near the site of Expo 2015, this park offers a relaxing and scenic environment. It features green meadows",,natural,
165,"milano ,parco sempione","Piazza Castello, 17, 20121 Milano MI, Italy",2,45.47087125416485 9.178533992339307,"Located on Via Luigi Cadorna, this park offers a peaceful retreat with its lush greenery and trees.",,natural,
166,BAM Tree Library Milan,"Via Gaetano de Castillia, 28, 20124 Milano MI, Italy",2,45.48639829965983 9.192610224804557,"Garden park & botanical garden with contemporary landscape design, restaurants & community events.",,natural,
167,Acquario Civico e Stazione Idrobiologica di Milano,"V.le Gadio, 2, 20121 Milano MI, Italy",2,45.48583890642663 9.182819257674524,"Landscaped park on ancient noble Roman estate, with open-air concerts, nature trails & fountain.",,natural,
168,Parco Villa Litta,"Via Jacopo della Quercia, 20151 Milano MI",2,45.51605173143442 9.167153642299478,"Historical 150-meter jetty, first founded in 1940, ending in a circular observation space.",,natural,
169,Parco pubblico - Giacometti-Gilardi,"20126 Milan, Metropolitan City of Milan, Italy",2,45.51412198237554 9.219367217341238,"Formal gardens within Vatican City, featuring fountains, sculptures & landscaped greenery.",,natural,
170,Parco Niguard,"Via Ospedale Maggiore, 20162 Milano MI",2,45.52603346916828 9.190423155479206,"Hilltop park known for its panoramic views, statues, and memorials, including a large statue of Giuseppe Garibaldi.",,natural,
171,Parco Monte Stella,"Via Enrico Terzaghi, 20148 Milano MI, Italy",2,45.49042515938645 9.13255168400254,"Renaissance villa and park with ancient Roman ruins, gardens, and a summer jazz festival.",,natural,
172,Parco Lambroside,"Via Lambro, 20151 Milano MI",2,45.53134156016016 9.24215918340044,"Large park with a lake, trees, and walking paths, offering a peaceful retreat from the city.",,natural,
173,Parco dell'Alintorno,"Via Medeghino, 20161 Milano M",2,45.34327789019597 10.696010198125041,"Garden on the Aventine Hill with orange trees, rose beds, and a panoramic view of Rome.",,natural,
174,Mount Vesuvius,East of Naples,3,40.823419883857966  14.428733906693902,Majestic volcano with scenic views and hiking trails.,,natural,
175,Capri Island,Off the coast of Naples,3,40.58514660582194  14.21798721844404,Picturesque island with beautiful landscapes and crystal-clear waters.,,natural,
176,Amalfi Coast, South of Naples,3,40.63338333735205  14.602907792378492,"Spectacular coastline with dramatic cliffs and charming fishing villages. spaces, trees, and small lakes.",,natural,
177,Positano," Amalfi Coast, south of Naples",3,40.63753252309692  14.490731635774857,Picturesque village with colorful houses and stunning coastal views. landscapes,,natural,
178,Pompeii,Near Mount Vesuvius,3,40.745441803385894  14.496771126764118,Archaeological site with well-preserved ruins of the ancient Roman city.,,natural,
179,Herculaneum,Near Mount Vesuvius,3,40.76053181670142  14.501220400355097,Well-preserved archaeological site showcasing ancient Roman ruins.,,natural,
180,Phlegraean Fields (Campi Flegrei,West of Naples,3,40.82810175739164  14.138656445334528,"Volcanic area with craters, hot springs, and the Solfatara volcano.",,natural,
181,Procida Island:, Off the coast of Naples,3,40.7617477893801  14.019014832263997,Picturesque island with colorful houses and serene beaches,,natural,
182,Ischia Island,Gulf of Naples,3,40.75542807742513  13.90939044952321," Volcanic island with thermal spas, gardens, and scenic coastline.",,natural,
183,Sorrento Peninsula, South of Naples,3,41.43602264813373  14.813181301443024,"Peninsula with stunning views, charming towns, and fragrant lemon groves.",,natural,
184,Naples Botanical Garden (Orto Botanico di Napoli),"Via Foria, Naples",3,40.86155175527325  14.262273581015318,Lush botanical garden with diverse plant species and serene ponds.,,natural,
185,Baia Underwater Archaeological Park,Bay of Naples,3,40.82133468558626  14.077731318295472,Underwater park with submerged ancient Roman ruins.,,natural,
186,Vesuvius National Park, Surrounding Mount Vesuvius,3,40.82826829003908  14.425831338685462, National park with hiking trails and volcanic landscapes.,,natural,
187,Grotta dello Smeraldo (Emerald Grotto)," Conca dei Marini, Amalfi Coast",3,40.615245256389954  14.566995109837823, Captivating sea cave with emerald-green waters and impressive stalactite formations.,,natural,
188,Villa Doria d'Angri Park,"Vomero district, Naples",3,40.7377877521514  14.572155596352422,Tranquil park with gardens and scenic views of the city and bay.,,natural,
189,Parco Virgiliano,"Posillipo district, Naples",3,40.83078558523079  14.21802783867433,Hilltop park with panoramic views of Naples and the surrounding islands.,,natural,
190,Astroni Crater Nature Reserve," Agnano district, Naples",3,40.84050813939514  14.159360882865974,"Nature reserve with a volcanic crater, hiking trails, and a scenic lake.",,natural,
191,Piazza del Plebiscito,"Piazza del Plebiscito, Naples",3,40.83606498408262  14.248587144506, Grand square with historic buildings and a view of the Bay of Naples.,,natural,
192,Naples Underground (Napoli Sotterranea)," Piazza San Gaetano 68, Naples",3,40.83816546085054  14.24548628253836, Intriguing underground tunnels with historical significance.,,natural,
193,Villa Floridiana,"Via Cimarosa 77, Naples",3,40.84253848555064  14.228978065670352,"Scenic park with gardens, panoramic views, and a museum showcasing decorative arts.",,natural,
194,Giardini della Biennale,"Castello, 30122 Venice, Italy",5,45.4289528775356 12.358059137969603,Giardini della Biennale is a beautiful park located in the Castello district of Venice. It is known for its lush greenery and picturesque pathways.,,natural,
